직무,기업,제목,주소,기술스택
인공지능/머신러닝,로민,자연어처리 개발자,서울 서초구,"Python
· Docker
· PyTorch
· TensorFlow
· OpenCV
· DeepLearning"
인공지능/머신러닝,모빌린트,[전문연구요원 가능] NPU Compiler Engineer,서울 강남구,"Python
· C++
· Linux
· DeepLearning
· c"
인공지능/머신러닝,노르마,양자컴퓨팅 연구원(신입 및 경력),서울 성동구,"machinelearning
· ai/인공지능
· linux
· python
· pytorch
· C
· C++"
인공지능/머신러닝,에이모,Computer Vision Engineer,경기 성남시,"GitHub Actions
· DeepLearning
· MachineLearning"
인공지능/머신러닝,한국딥러닝,딥러닝 엔지니어(3D Reconstruction / Generation),서울 서초구,"Git
· PyTorch
· MachineLearning
· DeepLearning
· AI/인공지능
· Docker"
인공지능/머신러닝,에어스메디컬,Research Scientist,서울 강남구,"Swift
· Python
· DeepLearning"
인공지능/머신러닝,코닉글로리,보안 AI 개발자 모집,서울 강남구,"Python
· TensorFlow
· Linux
· AI/인공지능"
인공지능/머신러닝,파인더스,GPT챗봇 개발자 채용,서울 영등포구,"AI/인공지능
· Python
· TensorFlow
· PyTorch
· OpenAPI
· REST API
· JSON"
인공지능/머신러닝,뉴빌리티,Planning & Control Engineer(전문연구요원 가능),서울 성동구,"C
· C++
· ROS
· Linux
· Embedded"
인공지능/머신러닝,버즈니,[전문연구요원/신입가능] AI/Recommendation System 리서치 엔지니어 - 병역특례,서울 관악구,"Python
· AI/인공지능
· Google AI Platform
· DeepLearning
· MachineLearning"
인공지능/머신러닝,테스트웍스,[병역특례 전문연구요원] Robot Vision 엔지니어,서울 송파구,"C
· C++
· MATLAB
· PyTorch
· TensorFlow
· ROS
· DeepLearning
· Python"
인공지능/머신러닝,파인더스,챗봇 개발자,서울 영등포구,"Python
· TensorFlow
· PyTorch
· Rest.li
· JSON
· NLP
· DeepLearning"
인공지능/머신러닝,알체라,ML researcher,경기 성남시,"Python
· TensorFlow
· PyTorch
· MachineLearning"
인공지능/머신러닝,오케스트로,인공지능 서비스 연구개발자,서울 영등포구,"Python
· PyTorch
· Flask
· Java
· AI/인공지능
· NLP"
인공지능/머신러닝,리빌더에이아이,[리빌더AI] AI 엔지니어 모집,서울 서초구,"Python
· C++
· TensorFlow
· Keras
· PyTorch
· MachineLearning"
인공지능/머신러닝,데이터메이커,ML Engineer,대전 유성구,"Python
· Ubuntu
· PyTorch
· Keras
· scikit-learn
· GitHub"
인공지능/머신러닝,올거나이즈코리아,AI Researcher / Engineer,서울 강남구,"keras
· tensorflow
· pytorch
· kafka
· redis
· ai/인공지능"
인공지능/머신러닝,무브멘토,AI 빅데이터 엔지니어 / 딥러닝 엔지니어 (빅데이터 실무자 모집),서울 성동구,"TensorFlow
· PyTorch
· Docker
· Python
· DeepLearning
· AI/인공지능
· BigData"
인공지능/머신러닝,다누시스,연구소 AI / C++ 개발자 채용,경기 광명시,"C++
· Python
· OpenCV
· Mfc
· MariaDB
· TensorFlow
· PyTorch"
인공지능/머신러닝,블루닷,[신입] 딥러닝 알고리즘 엔지니어,서울 강남구,"deeplearning
· ai/인공지능
· network
· pytorch
· tensorflow"
인공지능/머신러닝,테스트웍스,[병역특례 전문연구요원] AI 엔지니어,서울 송파구,"ai/인공지능
· python
· tensorflow
· keras
· pytorch
· machinelearning
· opencv"
인공지능/머신러닝,에너자이,[전문연구요원 가능] Runtime 소프트웨어 엔지니어 채용,서울 강남구,"C
· C++
· Python
· MachineLearning
· AI/인공지능"
인공지능/머신러닝,알체라,ML Ops Engineer,경기 성남시,"AWS
· Python
· Go
· JavaScript
· MachineLearning
· AI/인공지능"
인공지능/머신러닝,폼즈,[생성AI] 프롬프트 엔지니어 (스테이블 디퓨전 데이터 가공 및 실험),서울 마포구,"Python
· AI/인공지능
· BigData"
인공지능/머신러닝,엑소시스템즈,디지털헬스케어 플랫폼 AI 엔지니어 (병역특례 가능),경기 성남시,"TensorFlow
· Python
· C++
· MATLAB
· AI/인공지능"
인공지능/머신러닝,에너자이,[전문연구요원 가능] ML Engineer/Researcher 채용,서울 강남구,"Python
· PyTorch
· TensorFlow
· Keras
· AI/인공지능
· MachineLearning"
